date,fund,company,ticker,shares,market value($),weight(%)
2021-09-27,ARKX,LOCKHEED MARTIN CORP,LMT,85849.0,30005942.48,5.3
2021-09-27,ARKX,MARKFORGED HOLDING CORP,MKFG,1186466.0,8874765.68,1.57
2021-09-27,ARKX,NETFLIX INC,NFLX,25376.0,15032488.64,2.66
2021-09-27,ARKX,NVIDIA CORP,NVDA,7817.0,1726071.77,0.3
2021-09-27,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,283345.0,8092333.2,1.43
2021-09-27,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,225085.0,9581868.45,1.69
2021-09-27,ARKX,SYNOPSYS INC,SNPS,17406.0,5603687.64,0.99
2021-09-27,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,11315.0,4904939.35,0.87
2021-09-27,ARKX,TERADYNE INC,TER,80608.0,9618952.64,1.7
2021-09-27,ARKX,THALES SA,HO,223576.0,21831076.56,3.86
2021-09-27,ARKX,THE 3D PRINTING ETF,PRNT,1101462.0,41326854.24,7.3
2021-09-27,ARKX,TRIMBLE INC,TRMB,607498.0,53277574.6,9.41
2021-09-27,ARKX,UIPATH INC - CLASS A,PATH,310235.0,16349384.5,2.89
2021-09-27,ARKX,UNITY SOFTWARE INC,U,210475.0,29996897.0,5.3
